Date;Journ̩es perdues
1994-04;7869.0
1994-07;2860.0
1994-09;1424.0
1995-01;6442.0
1995-02;3643.0
1995-08;352.0
1995-12;858897.0
1996-02;550.0
1996-08;473.0
2000-02;2905.0
2000-09;44211.0
2001-02;3750.0
2002-06;2370.0
2003-01;2276.0
2003-10;223.0
2003-11;867.0
2004-03;898.0
2004-07;1959.0
2004-09;1869.0
2004-10;4236.0
2004-11;8258.0
2004-12;4942.0
2005-03;45331.0
2005-05;1377.0
2005-07;323.0
2005-09;217.0
2005-12;3077.0
2006-01;443.5
2006-09;1350.375
2007-02;5689.0
2008-05;33545.0
2008-10;14525.0
2009-05;28504.995
2009-12;10350.21
2010-03;34781.75
2010-11;3252.625
2011-01;2623.0
2011-04;2515.0
2011-05;3455.0
2011-09;1108.0
2012-05;1878.875
2012-07;971.875
2012-11;5786.25
2013-02;974.0
2013-05;2319.0
2013-08;1125.0
2013-10;19731.125
2014-08;735.0
2014-09;2607.0
2014-11;11863.0
2015-04;14169.0
2015-09;1845.0
2015-12;6152.0
2016-02;7017.0
2016-07;2197.0
2016-08;1555.0
2017-02;12552.01
2017-05;1417.26
2017-06;9121.01
2017-08;2996.38
2018-11;2667.75
2019-04;2724.5
2019-05;1786.38
2019-11;2407.25
2020-02;15104.38
2020-04;4.0
2020-06;69.25
2020-07;117.25
2020-10;779.63
2021-05;2559.0
2021-08;306.01
1994-01;3860.0
1994-02;1757.0
1995-06;5331.0
1995-11;6741.0
1996-07;642.0
1997-01;38250.0
1997-04;7799.0
1997-08;125.0
1997-09;3696.0
1997-10;40958.0
1997-12;2092.0
1998-11;80754.0
1999-02;931.0
1999-04;22181.0
1999-12;6302.0
2001-01;14628.0
2001-03;61797.0
2001-04;17387.0
2001-05;2061.0
2001-08;607.0
2001-10;40516.0
2002-11;17786.0
2003-03;47475.0
2005-01;54827.0
2005-02;955.0
2005-04;3388.0
2005-06;38358.0
2006-04;24512.0
2006-10;1422.5
2006-11;39247.375
2007-03;2815.0
2007-04;7997.0
2007-05;3364.0
2007-12;1875.0
2008-01;530.0
2008-06;29830.0
2008-09;1615.0
2009-11;7244.25
2010-04;87858.75
2010-08;616.75
2010-09;89695.0
2010-10;245721.25
2011-06;6517.0
2011-08;573.0
2012-01;2941.75
2012-08;403.125
2012-12;7157.875
2013-04;15145.0
2013-12;36523.0
2014-01;2537.0
2014-10;5941.0
2016-06;140169.0
2017-07;4103.26
2017-11;13272.26
2018-04;237672.25
2018-05;187473.12
2018-09;1108.88
2021-09;991.63
2021-10;15410.75
1994-11;22604.0
1994-12;4610.0
1995-03;62707.0
1995-04;1568.0
1995-05;8209.0
1995-09;8358.0
1995-10;90631.0
1996-05;3775.0
1996-11;9002.0
1996-12;1769.0
1998-01;18580.0
1998-03;7156.0
1998-09;3131.0
1999-01;3224.0
1999-05;5327.0
1999-11;5683.0
2000-06;5231.0
2000-07;291.0
2000-10;3727.0
2002-02;965.0
2002-05;3550.0
2002-08;23.0
2003-09;785.0
2003-12;3131.0
2004-02;914.0
2004-06;4158.0
2005-11;46090.0
2006-03;39125.0
2006-05;8495.9125
2006-08;223.0
2006-12;8559.625
2007-06;8228.0
2007-08;197.0
2007-09;4513.0
2008-03;13758.0
2008-07;364.0
2008-08;354.0
2008-11;13423.0
2009-02;1203.0
2009-03;43781.125
2009-07;3320.5
2010-06;44333.5
2011-07;1732.0
2011-10;26087.0
2013-06;43888.0
2013-09;23789.5
2014-02;4910.0
2015-02;2387.0
2016-04;45871.0
2017-01;1329.13
2017-04;4228.38
2017-10;16576.63
2019-02;10518.63
2019-03;10174.88
2019-07;1761.38
2019-08;803.63
2019-10;714.75
2020-08;123.88
2020-09;7391.38
2020-12;1678.38
2021-04;810.13
2021-06;4307.25
2021-12;8502.625
1994-05;5524.0
1994-06;23934.0
1994-08;567.0
1996-04;5041.0
1996-06;6457.0
1996-09;5742.0
1997-11;1226.0
1998-04;3914.0
1998-05;39772.0
1998-07;348.0
1998-08;138.0
1998-10;13853.0
1999-03;4058.0
1999-09;340.0
1999-10;3460.0
2000-01;3197.0
2000-03;2238.0
2000-11;4143.0
2000-12;4134.0
2001-07;497.0
2001-09;1052.0
2001-11;11591.0
2002-01;1019.0
2002-04;972.0
2003-02;2238.0
2003-04;38626.0
2003-07;340.0
2003-08;380.0
2004-04;1105.0
2004-08;176.0
2006-02;927.625
2006-07;1460.25
2007-01;877.0
2007-07;1269.0
2007-10;93034.0
2007-11;295587.0
2008-02;1580.0
2008-04;2306.0
2009-01;46569.99
2009-09;5760.625
2010-01;1830.0
2010-02;33949.75
2010-07;658.625
2010-12;3535.875
2011-02;1491.0
2011-03;906.0
2011-11;20176.5
2012-02;20195.25
2012-04;6732.0
2012-06;7984.625
2013-01;5805.0
2013-07;1666.0
2013-11;2591.125
2014-03;7345.0
2014-04;3632.0
2014-05;20700.0
2014-12;17769.0
2015-01;10355.0
2015-05;2128.0
2015-06;17072.0
2015-07;4135.0
2015-11;2069.0
2016-01;3226.0
2016-10;1178.0
2017-09;35022.88
2018-07;20690.88
2018-12;10004.38
2019-06;11792.63
2019-09;23812.5
2020-03;645.88
2020-05;92.5
2020-11;188.63
2021-03;1916.13
2021-07;8842.509999999998
2021-11;13029.89
1994-03;1588.0
1994-10;17218.0
1995-07;2041.0
1996-01;412.0
1996-03;2492.0
1996-10;58512.0
1997-02;7937.0
1997-03;4283.0
1997-05;14064.0
1997-06;3230.0
1997-07;599.0
1998-02;1202.0
1998-06;10010.0
1998-12;1573.0
1999-06;1858.0
1999-07;92.0
1999-08;323.0
2000-04;5350.0
2000-05;8986.0
2000-08;681.0
2001-06;5002.0
2001-12;2059.0
2002-03;3644.0
2002-07;468.0
2002-09;594.0
2002-10;2769.0
2002-12;3079.0
2003-05;87936.0
2003-06;210999.0
2004-01;37161.0
2004-05;28904.0
2005-08;654.0
2005-10;44365.0
2006-06;3445.625
2008-12;11699.0
2009-04;1410.2
2009-06;4214.875
2009-08;979.875
2009-10;33542.0
2010-05;25926.75
2011-12;5760.125
2012-03;2062.375
2012-09;1651.0
2012-10;28355.625
2013-03;18295.0
2014-06;170115.0
2014-07;406.0
2015-03;17168.0
2015-08;3238.0
2015-10;17234.0
2016-03;74194.0
2016-05;76058.0
2016-09;4159.0
2016-11;2033.0
2016-12;5769.0
2017-03;6827.39
2017-12;5185.25
2018-01;2258.13
2018-02;8313.380000000001
2018-03;43787.009999999995
2018-06;140809.25
2018-08;1253.13
2018-10;11047.0
2019-01;729.38
2019-12;327141.0
2020-01;158241.38
2021-01;2317.75
2021-02;4021.0
